time,actualloglike,SISRloglike,APFloglike
0,-2.33548,-2.32249,-2.32249
1,-1.93975,-1.8919,-0.0346006
2,-1.64755,-1.61942,-0.125307
3,-1.9692,-1.98443,-0.059433
4,-1.62838,-1.63453,-0.13079
5,-1.94585,-1.94654,-0.0249769
6,-1.81488,-1.83823,-0.0859825
7,-1.92686,-1.93154,-0.010026
8,-1.73695,-1.74052,-0.107769
9,-1.62331,-1.61559,-0.154748
10,-2.44974,-2.47395,0.14502
11,-1.99951,-1.99501,-0.0173549
12,-1.64742,-1.64795,-0.129051
13,-2.99086,-2.94,0.303925
14,-1.62354,-1.60979,-0.13152
15,-2.29058,-2.28367,0.0227403
16,-1.64738,-1.64152,-0.149193
17,-2.4874,-2.5124,0.143068
18,-3.52506,-3.47615,0.482233
19,-1.65975,-1.65326,-0.126465
20,-3.23283,-3.2647,0.388191
21,-2.50557,-2.46254,0.128293
22,-3.26815,-3.25506,0.41854
23,-2.11628,-2.09173,0.0230554
24,-1.63367,-1.64904,-0.137406
25,-1.83259,-1.82673,-0.0690809
26,-1.62453,-1.61875,-0.136012
27,-1.64671,-1.63352,-0.134865
28,-2.74317,-2.70231,0.265536
29,-2.94502,-2.93829,0.293926
30,-2.20345,-2.19208,0.0327724
31,-1.8588,-1.8623,-0.0807289
32,-2.12098,-2.14698,0.0203839
33,-1.71271,-1.73509,-0.111452
34,-1.63603,-1.66122,-0.145345
35,-1.7912,-1.79605,-0.0778656
36,-3.02567,-3.03287,0.271217
37,-1.65269,-1.65309,-0.126493
38,-1.76738,-1.763,-0.0802544
39,-2.6873,-2.62158,0.228331
40,-1.63682,-1.64069,-0.135961
41,-1.6724,-1.69041,-0.12002
42,-2.5054,-2.48435,0.164581
43,-1.67416,-1.66837,-0.120631
44,-3.15554,-3.14331,0.400371
45,-1.63929,-1.63603,-0.128717
46,-1.65183,-1.65171,-0.130015
47,-1.88368,-1.89654,-0.0669187
48,-1.66105,-1.67356,-0.130962
49,-3.47005,-3.46615,0.41582
50,-2.27758,-2.24933,0.0533002
51,-2.69276,-2.66808,0.174881
52,-2.90524,-2.87293,0.260397
53,-1.81698,-1.79328,-0.0644285
54,-1.68508,-1.65709,-0.100317
55,-1.68094,-1.68232,-0.118868
56,-1.94726,-1.92051,-0.042655
57,-1.71037,-1.67813,-0.0940411
58,-2.03426,-1.98507,0.0130142
59,-1.71375,-1.7342,-0.115166
60,-1.66489,-1.66718,-0.123519
61,-1.63464,-1.65164,-0.148759
62,-1.83587,-1.84806,-0.0698159
63,-3.80701,-3.77187,0.582259
64,-1.70345,-1.69246,-0.120564
65,-3.6898,-3.67437,0.571982
66,-1.76742,-1.76323,-0.103837
67,-1.62566,-1.62859,-0.150441
68,-2.14904,-2.17368,0.0427365
69,-4.05598,-4.07148,0.592062
70,-2.2552,-2.31062,0.0442139
71,-1.72226,-1.72138,-0.10285
72,-1.62338,-1.62925,-0.142452
73,-4.79148,-4.76854,0.803545
74,-2.64287,-2.66973,0.204804
75,-1.73193,-1.75112,-0.109825
76,-1.63908,-1.63148,-0.144776
77,-1.67004,-1.68207,-0.125222
78,-1.96201,-1.97294,-0.0516578
79,-1.624,-1.6229,-0.136035
80,-3.02108,-3.07748,0.322307
81,-2.39871,-2.40662,0.109275
82,-1.64124,-1.64137,-0.138066
83,-1.71374,-1.70152,-0.102594
84,-1.62778,-1.63073,-0.14595
85,-2.07775,-2.0584,-0.0304147
86,-1.76994,-1.76331,-0.0794578
87,-2.46212,-2.47383,0.108705
88,-2.6932,-2.68472,0.187488
89,-2.87233,-2.8942,0.217552
90,-1.69086,-1.66638,-0.112468
91,-2.17546,-2.17908,0.0310779
92,-1.66896,-1.66987,-0.115823
93,-1.81708,-1.78018,-0.06525
94,-1.62432,-1.6172,-0.144875
95,-2.65508,-2.7073,0.188536
96,-1.79313,-1.79603,-0.0797748
97,-2.14327,-2.14456,-0.00596773
98,-1.85794,-1.84955,-0.0636701
99,-2.18168,-2.14737,0.047909
100,-2.13444,-2.1448,-0.000563622
101,-2.05057,-2.02555,0.0289933
102,-1.64227,-1.63212,-0.146128
103,-1.79238,-1.78976,-0.0875299
104,-1.66688,-1.65925,-0.119252
105,-1.65841,-1.66889,-0.120962
106,-1.66643,-1.68168,-0.138792
107,-2.11816,-2.10916,0.0465298
108,-1.65604,-1.64784,-0.132545
109,-1.67131,-1.67817,-0.132874
110,-1.71239,-1.71603,-0.120323
111,-2.30803,-2.31621,0.0829093
112,-1.67185,-1.65263,-0.105976
113,-4.44662,-4.41572,0.66897
114,-1.90268,-1.91673,-0.0310806
115,-2.02784,-2.0109,-0.0418236
116,-1.97027,-1.98285,-0.030306
117,-1.7121,-1.70969,-0.104369
118,-2.96945,-2.91065,0.365342
119,-1.76758,-1.76464,-0.0622287
120,-1.87126,-1.86933,-0.0400027
121,-1.71114,-1.70369,-0.10399
122,-1.8757,-1.86565,-0.0715552
123,-1.65605,-1.6592,-0.131879
124,-1.63142,-1.64005,-0.136732
125,-2.28195,-2.26604,0.0703363
126,-1.88588,-1.91058,-0.0532267
127,-2.14668,-2.17363,0.0260122
128,-1.62649,-1.62637,-0.149696
129,-2.68081,-2.66966,0.245578
130,-2.62515,-2.58009,0.189621
131,-2.21448,-2.16471,0.0677078
132,-2.76787,-2.82317,0.217769
133,-2.13189,-2.11865,0.0393177
134,-2.52466,-2.48028,0.128401
135,-2.00281,-2.0476,-0.0541136
136,-1.62746,-1.62701,-0.135191
137,-1.62318,-1.61941,-0.145942
138,-1.71867,-1.70414,-0.0977429
139,-2.14726,-2.16882,0.0090299
140,-1.84405,-1.82957,-0.0735988
141,-1.62855,-1.6216,-0.140189
142,-1.7456,-1.73901,-0.0869446
143,-1.76567,-1.74967,-0.104916
144,-3.43019,-3.4426,0.439956
145,-1.64108,-1.63533,-0.130823
146,-2.74509,-2.7743,0.180658
147,-1.99592,-1.97729,0.00893202
148,-1.65295,-1.65602,-0.136394
149,-1.67988,-1.69524,-0.136291
150,-1.92526,-1.94096,-0.0588609
151,-2.78404,-2.81351,0.245759
152,-1.98601,-1.96686,-0.0417583
153,-1.62552,-1.6282,-0.124974
154,-2.0338,-2.02837,-0.0293655
155,-1.67637,-1.69523,-0.125006
156,-2.47937,-2.50804,0.0818133
157,-1.9437,-1.9293,-0.024497
158,-2.72226,-2.70076,0.230756
159,-1.64649,-1.64035,-0.128821
160,-1.79136,-1.79524,-0.096683
161,-3.36573,-3.37333,0.427006
162,-2.42325,-2.4134,0.117261
163,-1.66449,-1.66427,-0.120841
164,-2.98081,-2.94517,0.31715
165,-1.62697,-1.63569,-0.161503
