time,actualloglike,SISRloglike,APFloglike
0,-2.33548,-2.32249,-2.32249
1,-1.93975,-1.93365,-1.91351
2,-1.64755,-1.63942,-1.63522
3,-1.9692,-1.98043,-1.98392
4,-1.62838,-1.61572,-1.62886
5,-1.94585,-1.95087,-1.95639
6,-1.81488,-1.84949,-1.8378
7,-1.92686,-1.90434,-1.89536
8,-1.73695,-1.73444,-1.75168
9,-1.62331,-1.63594,-1.61482
10,-2.44974,-2.45202,-2.49313
11,-1.99951,-1.98636,-1.97472
12,-1.64742,-1.65105,-1.64226
13,-2.99086,-2.97694,-2.90078
14,-1.62354,-1.62281,-1.61792
15,-2.29058,-2.3255,-2.31949
16,-1.64738,-1.64231,-1.63723
17,-2.4874,-2.48979,-2.51693
18,-3.52506,-3.55846,-3.40699
19,-1.65975,-1.65562,-1.64815
20,-3.23283,-3.19304,-3.30401
21,-2.50557,-2.50434,-2.41167
22,-3.26815,-3.24088,-3.27944
23,-2.11628,-2.08851,-2.09268
24,-1.63367,-1.63544,-1.63774
25,-1.83259,-1.8061,-1.84208
26,-1.62453,-1.62679,-1.61792
27,-1.64671,-1.6531,-1.64965
28,-2.74317,-2.69984,-2.72106
29,-2.94502,-2.92186,-2.94107
30,-2.20345,-2.22456,-2.15055
31,-1.8588,-1.85836,-1.87527
32,-2.12098,-2.13986,-2.15911
33,-1.71271,-1.71108,-1.70263
34,-1.63603,-1.64298,-1.65302
35,-1.7912,-1.78784,-1.78916
36,-3.02567,-3.11686,-3.0582
37,-1.65269,-1.64679,-1.63068
38,-1.76738,-1.76908,-1.77758
39,-2.6873,-2.65492,-2.61934
40,-1.63682,-1.64574,-1.63597
41,-1.6724,-1.68312,-1.66454
42,-2.5054,-2.49719,-2.50337
43,-1.67416,-1.67571,-1.6894
44,-3.15554,-3.15902,-3.21176
45,-1.63929,-1.6357,-1.63263
46,-1.65183,-1.65077,-1.63097
47,-1.88368,-1.87649,-1.8929
48,-1.66105,-1.64748,-1.65862
49,-3.47005,-3.47941,-3.47669
50,-2.27758,-2.30941,-2.31506
51,-2.69276,-2.75548,-2.7632
52,-2.90524,-2.91048,-2.96557
53,-1.81698,-1.79489,-1.81344
54,-1.68508,-1.65555,-1.6627
