gtemp,gtemp2
-0.28,-0.24
-0.21,-0.19
-0.26,-0.14
-0.27,-0.19
-0.32,-0.45
-0.32,-0.32
-0.29,-0.42
-0.36,-0.54
-0.27,-0.24
-0.17,-0.05
-0.39,-0.41
-0.27,-0.47
-0.32,-0.39
-0.33,-0.42
-0.33,-0.29
-0.25,-0.21
-0.14,-0.1
-0.11,-0.04
-0.25,-0.21
-0.15,-0.13
-0.07,0.02
-0.14,0.02
-0.24,-0.17
-0.3,-0.27
-0.34,-0.37
-0.24,-0.17
-0.19,-0.07
-0.39,-0.36
-0.33,-0.23
-0.35,-0.26
-0.33,-0.17
-0.34,-0.2
-0.32,-0.22
-0.3,-0.2
-0.15,0.02
-0.1,0.03
-0.3,-0.2
-0.39,-0.4
-0.33,-0.32
-0.2,-0.07
-0.19,-0.14
-0.14,-0.07
-0.26,-0.15
-0.22,-0.18
-0.22,-0.13
-0.17,-0.14
-0.02,0.06
-0.15,-0.07
-0.12,-0.02
-0.26,-0.22
-0.08,-0.03
-0.02,0.02
-0.08,0.01
-0.19,-0.13
-0.07,0.04
-0.12,-0.1
-0.05,0
0.07,0.11
0.1,0.15
0.01,-0.02
0.04,0.14
0.1,0.11
0.03,0.1
0.09,0.04
0.19,0.08
0.06,-0.01
-0.05,0
0,0.12
-0.04,-0.03
-0.07,-0.09
-0.16,-0.17
-0.04,-0.02
0.03,0.04
0.11,0.12
-0.1,-0.08
-0.1,-0.07
-0.17,-0.17
0.08,0.08
0.08,0.1
0.06,0.05
-0.01,-0.01
0.07,0.09
0.04,0.04
0.08,0.03
-0.21,-0.25
-0.11,-0.15
-0.03,-0.07
-0.01,-0.01
-0.04,-0.09
0.08,0
0.03,0.05
-0.1,-0.1
0,-0.06
0.14,0.19
-0.08,-0.07
-0.05,-0.02
-0.16,-0.23
0.12,0.15
0.01,0.06
0.08,0.13
0.18,0.27
0.26,0.39
0.04,0.06
0.26,0.32
0.09,0.13
0.05,0.12
0.12,0.18
0.26,0.34
0.31,0.41
0.19,0.27
0.37,0.47
0.35,0.42
0.12,0.14
0.13,0.17
0.23,0.3
0.37,0.44
0.29,0.36
0.39,0.38
0.56,0.7
0.32,0.43
0.33,0.41
0.48,0.56
0.56,0.68
0.55,0.65
0.48,0.59
0.62,0.77
0.54,0.65
0.57,0.73
0.43,0.55
0.57,0.72
